id;recipe_id;step_number;step_description
1;1;1;Versez dans un récipient les oeufs avec la fécule, la crème et le lait. Fouettez la préparation et ajoutez le sel et la moutarde.
2;1;2;Râpez les poireaux à l'aide d'une robot pour obtenir vos légumes en petits morceaux et réservez.OUCoupez-les finement à l'aide d'un couteaux et faites-les revenir à la poêle avec un peu d'huile d'olive ou du beurre. 
3;1;3;Ajoutez les poireaux à la préparation, mélangez et ajoutez ensuite le saumon frais coupé en dés. Mélangez. 
4;1;4;Versez-le tout dans un moule à gratin, saupoudrez de sel, aneth et flocons d'avoine. Enfournez à 180°C pendant 1h15 (surtout si les poireaux sont crus, ça doit cuire). Si les poireaux sont déjà cuits, vous pouvez enfourner à 200°C pendant 45 min. 
5;1;5;NB: Goutez bien la moutarde, j'ai eu des surprises et j'ai dû le refaire c'est dommage. 
6;2;1;Faites revenir dans une cocotte les oignons ciselés et les aiguillettes de poulet avec de l'huile d'olive. Une fois que les aiguillettes sont cuites, mettez de côté et effilochez-les à l'aide de deux fourchettes. Réserver.
7;2;2;Ajoutez dans la cocotte à feu doux avec les pois chiches cuits et préalablement rincés. Mélangez et ajoutez du sel, du paprika et du cumin.
8;2;3;Ajoutez ensuite les carottes et poireaux coupés en morceaux. Mélangez.
9;2;4;Versez alors l'eau chaude, le bouillon de légumes et le bouquet garni. Couvrez et laissez mijoter pendant 30-40 min.
10;2;5;Les carottes une fois fondantes, à l'aide d'une louche/passoire, versez les 3/4 des légumes dans un mixeur. Mixez jusqu'à obtenir une préparation homogène. vous devez gardez pour la texture un peu de légumes en morceaux et de pois chiches. 
11;2;6;Reversez la soupe mixez dans la cocotte avec le reste de la préparation. Versez ensuite le poulet effiloché et la crème. Mélangez sur feu doux.
12;2;7;Assaisonnez ensuite avec cumin, sel, paprika et curry. 
13;2;8;Servez aussitôt avec des ronds de pâte à pizza cuite avec du fromage dessus, et ajoutez sur la soupe des noisettes concassées, du fromage râpé et du persil.
